
{'Accuracy': 0.5680952668190002, 'F1_Score': 0.28806906938552856, 'Recall': 0.5242857336997986, 'Precision': 0.19859308004379272, 'AUC': 0.5789675712585449}
{'Accuracy': 0.5142857432365417, 'F1_Score': 0.30136987566947937, 'Recall': 0.6285714507102966, 'Precision': 0.19819819927215576, 'AUC': 0.5847750902175903}
{'Accuracy': 0.5571428537368774, 'F1_Score': 0.2943854331970215, 'Recall': 0.5542857050895691, 'Precision': 0.20041322708129883, 'AUC': 0.5839528441429138}
{'Accuracy': 0.5392857193946838, 'F1_Score': 0.3027026951313019, 'Recall': 0.6000000238418579, 'Precision': 0.20240963995456696, 'AUC': 0.5834358930587769}
{'Accuracy': 0.5802381038665771, 'F1_Score': 0.28767678141593933, 'Recall': 0.508571445941925, 'Precision': 0.20056338608264923, 'AUC': 0.5821242928504944}
{'Accuracy': 0.5390475988388062, 'F1_Score': 0.29855072498321533, 'Recall': 0.5885714292526245, 'Precision': 0.20000000298023224, 'AUC': 0.5832185745239258}
{'Accuracy': 0.5669047832489014, 'F1_Score': 0.2990366220474243, 'Recall': 0.5542857050895691, 'Precision': 0.20474934577941895, 'AUC': 0.5863216519355774}
{'Accuracy': 0.569523811340332, 'F1_Score': 0.2986811399459839, 'Recall': 0.550000011920929, 'Precision': 0.20500531792640686, 'AUC': 0.5940630435943604}
{'Accuracy': 0.5580952167510986, 'F1_Score': 0.2856042981147766, 'Recall': 0.5299999713897705, 'Precision': 0.19546891748905182, 'AUC': 0.5734410285949707}
{'Accuracy': 0.5709523558616638, 'F1_Score': 0.2966432571411133, 'Recall': 0.5428571701049805, 'Precision': 0.20408163964748383, 'AUC': 0.588752269744873}
{'Accuracy': 0.5188094973564148, 'F1_Score': 0.2989940941333771, 'Recall': 0.6157143115997314, 'Precision': 0.19743472337722778, 'AUC': 0.5803638696670532}
{'Accuracy': 0.5376190543174744, 'F1_Score': 0.294843852519989, 'Recall': 0.5799999833106995, 'Precision': 0.1976630985736847, 'AUC': 0.584491491317749}
