
{'Accuracy': 0.633809506893158, 'F1_Score': 0.2153061181306839, 'Recall': 0.30142858624458313, 'Precision': 0.16746032238006592, 'AUC': 0.49019408226013184}
{'Accuracy': 0.6449999809265137, 'F1_Score': 0.20139260590076447, 'Recall': 0.2685714364051819, 'Precision': 0.16109682619571686, 'AUC': 0.49159425497055054}
{'Accuracy': 0.5942857265472412, 'F1_Score': 0.2154696136713028, 'Recall': 0.334285706281662, 'Precision': 0.15896739065647125, 'AUC': 0.48406630754470825}
{'Accuracy': 0.5583333373069763, 'F1_Score': 0.2293311208486557, 'Recall': 0.3942857086658478, 'Precision': 0.16168716549873352, 'AUC': 0.48771631717681885}
{'Accuracy': 0.645714282989502, 'F1_Score': 0.1982758641242981, 'Recall': 0.2628571391105652, 'Precision': 0.15916955471038818, 'AUC': 0.4827197790145874}
{'Accuracy': 0.6459524035453796, 'F1_Score': 0.21860221028327942, 'Recall': 0.2971428632736206, 'Precision': 0.17290107905864716, 'AUC': 0.5003371238708496}
{'Accuracy': 0.6288095116615295, 'F1_Score': 0.21222840249538422, 'Recall': 0.30000001192092896, 'Precision': 0.16419076919555664, 'AUC': 0.4917806088924408}
{'Accuracy': 0.6276190280914307, 'F1_Score': 0.2028542309999466, 'Recall': 0.2842857241630554, 'Precision': 0.15768621861934662, 'AUC': 0.48490408062934875}
{'Accuracy': 0.7107142806053162, 'F1_Score': 0.1706484705209732, 'Recall': 0.1785714328289032, 'Precision': 0.16339869797229767, 'AUC': 0.49015772342681885}
{'Accuracy': 0.697857141494751, 'F1_Score': 0.19428572058677673, 'Recall': 0.21857142448425293, 'Precision': 0.17485713958740234, 'AUC': 0.4988158941268921}
{'Accuracy': 0.6388095021247864, 'F1_Score': 0.21112844347953796, 'Recall': 0.28999999165534973, 'Precision': 0.16598528623580933, 'AUC': 0.486168771982193}
{'Accuracy': 0.6307142972946167, 'F1_Score': 0.2058371752500534, 'Recall': 0.2871428430080414, 'Precision': 0.16041500866413116, 'AUC': 0.4887154996395111}
{'Accuracy': 0.6949999928474426, 'F1_Score': 0.18975332379341125, 'Recall': 0.2142857164144516, 'Precision': 0.17026107013225555, 'AUC': 0.4925391674041748}
{'Accuracy': 0.6197618842124939, 'F1_Score': 0.21830640733242035, 'Recall': 0.31857141852378845, 'Precision': 0.1660461723804474, 'AUC': 0.49545878171920776}
{'Accuracy': 0.6271428465843201, 'F1_Score': 0.2146439254283905, 'Recall': 0.30571427941322327, 'Precision': 0.16537867486476898, 'AUC': 0.48928651213645935}
{'Accuracy': 0.6345238089561462, 'F1_Score': 0.21079692244529724, 'Recall': 0.2928571403026581, 'Precision': 0.16465863585472107, 'AUC': 0.49479857087135315}
{'Accuracy': 0.6730952262878418, 'F1_Score': 0.1918775737285614, 'Recall': 0.2328571379184723, 'Precision': 0.1631631702184677, 'AUC': 0.49285346269607544}
{'Accuracy': 0.6354761719703674, 'F1_Score': 0.2087855339050293, 'Recall': 0.28857141733169556, 'Precision': 0.16356275975704193, 'AUC': 0.4899897873401642}
{'Accuracy': 0.6311904788017273, 'F1_Score': 0.1944877803325653, 'Recall': 0.2671428620815277, 'Precision': 0.15290269255638123, 'AUC': 0.48542550206184387}
{'Accuracy': 0.6466666460037231, 'F1_Score': 0.2164730727672577, 'Recall': 0.2928571403026581, 'Precision': 0.17169179022312164, 'AUC': 0.4808436632156372}
{'Accuracy': 0.5478571653366089, 'F1_Score': 0.22961460053920746, 'Recall': 0.404285728931427, 'Precision': 0.16033993661403656, 'AUC': 0.48258161544799805}
{'Accuracy': 0.6114285588264465, 'F1_Score': 0.22433459758758545, 'Recall': 0.33714285492897034, 'Precision': 0.16809116303920746, 'AUC': 0.4906591773033142}
