
{'Accuracy': 0.7004761695861816, 'F1_Score': 0.3796844184398651, 'Recall': 0.550000011920929, 'Precision': 0.28990963101387024, 'AUC': 0.7090048789978027}
{'Accuracy': 0.7066666483879089, 'F1_Score': 0.38522952795028687, 'Recall': 0.5514285564422607, 'Precision': 0.296012282371521, 'AUC': 0.708352267742157}
{'Accuracy': 0.706428587436676, 'F1_Score': 0.38380810618400574, 'Recall': 0.5485714077949524, 'Precision': 0.2951575815677643, 'AUC': 0.7061673402786255}
{'Accuracy': 0.683571457862854, 'F1_Score': 0.3855755925178528, 'Recall': 0.595714271068573, 'Precision': 0.2850307524204254, 'AUC': 0.7067317962646484}
{'Accuracy': 0.6930952668190002, 'F1_Score': 0.38472554087638855, 'Recall': 0.5757142901420593, 'Precision': 0.2888889014720917, 'AUC': 0.7085461616516113}
{'Accuracy': 0.7002381086349487, 'F1_Score': 0.3807181417942047, 'Recall': 0.5528571605682373, 'Precision': 0.29032257199287415, 'AUC': 0.7052758932113647}
{'Accuracy': 0.6814285516738892, 'F1_Score': 0.38736262917518616, 'Recall': 0.604285717010498, 'Precision': 0.2850404381752014, 'AUC': 0.7105011940002441}
{'Accuracy': 0.697857141494751, 'F1_Score': 0.38666021823883057, 'Recall': 0.5714285969734192, 'Precision': 0.29218408465385437, 'AUC': 0.7069799900054932}
{'Accuracy': 0.6957142949104309, 'F1_Score': 0.38260868191719055, 'Recall': 0.5657142996788025, 'Precision': 0.2890510857105255, 'AUC': 0.7093485593795776}
{'Accuracy': 0.6964285969734192, 'F1_Score': 0.3801652789115906, 'Recall': 0.558571457862854, 'Precision': 0.2881355881690979, 'AUC': 0.7060165405273438}
{'Accuracy': 0.6895238161087036, 'F1_Score': 0.383159875869751, 'Recall': 0.5785714387893677, 'Precision': 0.2864215075969696, 'AUC': 0.7085618376731873}
{'Accuracy': 0.6940476298332214, 'F1_Score': 0.38072288036346436, 'Recall': 0.5642856955528259, 'Precision': 0.28727272152900696, 'AUC': 0.7055943012237549}
{'Accuracy': 0.7052381038665771, 'F1_Score': 0.3865213096141815, 'Recall': 0.5571428537368774, 'Precision': 0.29590287804603577, 'AUC': 0.7103975415229797}
{'Accuracy': 0.6895238161087036, 'F1_Score': 0.3895131051540375, 'Recall': 0.5942857265472412, 'Precision': 0.28969359397888184, 'AUC': 0.7146162986755371}
{'Accuracy': 0.6878571510314941, 'F1_Score': 0.38131195306777954, 'Recall': 0.5771428346633911, 'Precision': 0.28470754623413086, 'AUC': 0.7074567079544067}
{'Accuracy': 0.6957142949104309, 'F1_Score': 0.39200761914253235, 'Recall': 0.5885714292526245, 'Precision': 0.2938659191131592, 'AUC': 0.7139445543289185}
{'Accuracy': 0.6902381181716919, 'F1_Score': 0.3848699629306793, 'Recall': 0.581428587436676, 'Precision': 0.2876324951648712, 'AUC': 0.7092442512512207}
{'Accuracy': 0.686904788017273, 'F1_Score': 0.3800094425678253, 'Recall': 0.5757142901420593, 'Precision': 0.28360310196876526, 'AUC': 0.7089736461639404}
{'Accuracy': 0.6904761791229248, 'F1_Score': 0.3838862478733063, 'Recall': 0.5785714387893677, 'Precision': 0.28723403811454773, 'AUC': 0.7088891267776489}
{'Accuracy': 0.688095211982727, 'F1_Score': 0.384398490190506, 'Recall': 0.5842857360839844, 'Precision': 0.28641456365585327, 'AUC': 0.707184910774231}
