
{'Accuracy': 0.560952365398407, 'F1_Score': 0.23675496876239777, 'Recall': 0.40857142210006714, 'Precision': 0.1666666716337204, 'AUC': 0.5067546963691711}
{'Accuracy': 0.5273809432983398, 'F1_Score': 0.2500944435596466, 'Recall': 0.47285714745521545, 'Precision': 0.17000514268875122, 'AUC': 0.5054208040237427}
{'Accuracy': 0.5480952262878418, 'F1_Score': 0.24019216001033783, 'Recall': 0.4285714328289032, 'Precision': 0.16685205698013306, 'AUC': 0.4975663125514984}
{'Accuracy': 0.5685714483261108, 'F1_Score': 0.23285351693630219, 'Recall': 0.3928571343421936, 'Precision': 0.16546329855918884, 'AUC': 0.4991263151168823}
{'Accuracy': 0.5492857098579407, 'F1_Score': 0.23576907813549042, 'Recall': 0.4171428680419922, 'Precision': 0.1643218845129013, 'AUC': 0.5043848752975464}
{'Accuracy': 0.5592857003211975, 'F1_Score': 0.25091055035591125, 'Recall': 0.44285714626312256, 'Precision': 0.17504234611988068, 'AUC': 0.5106763243675232}
{'Accuracy': 0.5933333039283752, 'F1_Score': 0.25284337997436523, 'Recall': 0.41285714507102966, 'Precision': 0.18221941590309143, 'AUC': 0.5158673524856567}
{'Accuracy': 0.5738095045089722, 'F1_Score': 0.23438836634159088, 'Recall': 0.39142856001853943, 'Precision': 0.16727717220783234, 'AUC': 0.5069530606269836}
{'Accuracy': 0.5509523749351501, 'F1_Score': 0.238287553191185, 'Recall': 0.4214285612106323, 'Precision': 0.16610360145568848, 'AUC': 0.5001004338264465}
{'Accuracy': 0.557619035243988, 'F1_Score': 0.23032312095165253, 'Recall': 0.39714285731315613, 'Precision': 0.16219370067119598, 'AUC': 0.500093936920166}
{'Accuracy': 0.5880952477455139, 'F1_Score': 0.23855634033679962, 'Recall': 0.3871428668498993, 'Precision': 0.1723918616771698, 'AUC': 0.5082204341888428}
{'Accuracy': 0.532619059085846, 'F1_Score': 0.24990446865558624, 'Recall': 0.46714285016059875, 'Precision': 0.17057903110980988, 'AUC': 0.5107942819595337}
{'Accuracy': 0.5835714340209961, 'F1_Score': 0.24903391301631927, 'Recall': 0.41428571939468384, 'Precision': 0.1780233234167099, 'AUC': 0.5116328597068787}
{'Accuracy': 0.5371428728103638, 'F1_Score': 0.2470952719449997, 'Recall': 0.45571428537368774, 'Precision': 0.16950052976608276, 'AUC': 0.5068241357803345}
{'Accuracy': 0.5571428537368774, 'F1_Score': 0.24267101287841797, 'Recall': 0.42571428418159485, 'Precision': 0.169703871011734, 'AUC': 0.5094393491744995}
{'Accuracy': 0.5492857098579407, 'F1_Score': 0.2514827847480774, 'Recall': 0.45428571105003357, 'Precision': 0.17386549711227417, 'AUC': 0.5141950845718384}
{'Accuracy': 0.5557143092155457, 'F1_Score': 0.2577565610408783, 'Recall': 0.4628571569919586, 'Precision': 0.17861080169677734, 'AUC': 0.5189043283462524}
{'Accuracy': 0.5799999833106995, 'F1_Score': 0.2370242178440094, 'Recall': 0.39142856001853943, 'Precision': 0.1699751913547516, 'AUC': 0.5089547634124756}
{'Accuracy': 0.5116666555404663, 'F1_Score': 0.26090091466903687, 'Recall': 0.5171428322792053, 'Precision': 0.1744578331708908, 'AUC': 0.5063720345497131}
{'Accuracy': 0.5352380871772766, 'F1_Score': 0.24164724349975586, 'Recall': 0.44428572058677673, 'Precision': 0.16595517098903656, 'AUC': 0.5024256706237793}
{'Accuracy': 0.4992857277393341, 'F1_Score': 0.26391318440437317, 'Recall': 0.5385714173316956, 'Precision': 0.17477978765964508, 'AUC': 0.5081163644790649}
{'Accuracy': 0.5669047832489014, 'F1_Score': 0.24113474786281586, 'Recall': 0.41285714507102966, 'Precision': 0.17030052840709686, 'AUC': 0.507056713104248}
{'Accuracy': 0.5495238304138184, 'F1_Score': 0.24621513485908508, 'Recall': 0.4414285719394684, 'Precision': 0.1707182377576828, 'AUC': 0.5102642774581909}
{'Accuracy': 0.5209524035453796, 'F1_Score': 0.24644194543361664, 'Recall': 0.4699999988079071, 'Precision': 0.16700507700443268, 'AUC': 0.5041875839233398}
{'Accuracy': 0.5547618865966797, 'F1_Score': 0.2626183032989502, 'Recall': 0.4757142961025238, 'Precision': 0.18137255311012268, 'AUC': 0.5159016251564026}
{'Accuracy': 0.5604761838912964, 'F1_Score': 0.24775876104831696, 'Recall': 0.4342857003211975, 'Precision': 0.17331813275814056, 'AUC': 0.5075271725654602}
{'Accuracy': 0.5357142686843872, 'F1_Score': 0.25401684641838074, 'Recall': 0.47428572177886963, 'Precision': 0.17345872521400452, 'AUC': 0.5125081539154053}
{'Accuracy': 0.4892857074737549, 'F1_Score': 0.25752854347229004, 'Recall': 0.5314285755157471, 'Precision': 0.16994060575962067, 'AUC': 0.5047661066055298}
{'Accuracy': 0.5483333468437195, 'F1_Score': 0.24692338705062866, 'Recall': 0.44428572058677673, 'Precision': 0.1709730625152588, 'AUC': 0.5088101625442505}
{'Accuracy': 0.558571457862854, 'F1_Score': 0.23954060673713684, 'Recall': 0.4171428680419922, 'Precision': 0.1680092066526413, 'AUC': 0.5022565126419067}
{'Accuracy': 0.5409523844718933, 'F1_Score': 0.24863600730895996, 'Recall': 0.45571428537368774, 'Precision': 0.1709539145231247, 'AUC': 0.5073602199554443}
{'Accuracy': 0.5159524083137512, 'F1_Score': 0.24339412152767181, 'Recall': 0.46714285016059875, 'Precision': 0.1645697057247162, 'AUC': 0.4915904104709625}
{'Accuracy': 0.5149999856948853, 'F1_Score': 0.2447163462638855, 'Recall': 0.4714285731315613, 'Precision': 0.1652478724718094, 'AUC': 0.5008200407028198}
{'Accuracy': 0.5252380967140198, 'F1_Score': 0.24640966951847076, 'Recall': 0.4657142758369446, 'Precision': 0.16752313077449799, 'AUC': 0.5023548603057861}
{'Accuracy': 0.5371428728103638, 'F1_Score': 0.2476780116558075, 'Recall': 0.4571428596973419, 'Precision': 0.1698513776063919, 'AUC': 0.5042905807495117}
{'Accuracy': 0.49071428179740906, 'F1_Score': 0.26266804337501526, 'Recall': 0.5442857146263123, 'Precision': 0.17310313880443573, 'AUC': 0.5136886239051819}
{'Accuracy': 0.5866666436195374, 'F1_Score': 0.2277580052614212, 'Recall': 0.36571428179740906, 'Precision': 0.16537468135356903, 'AUC': 0.5004634857177734}
{'Accuracy': 0.5321428775787354, 'F1_Score': 0.24914023280143738, 'Recall': 0.4657142758369446, 'Precision': 0.17005738615989685, 'AUC': 0.5081610083580017}
{'Accuracy': 0.5302380919456482, 'F1_Score': 0.2534998059272766, 'Recall': 0.47857141494750977, 'Precision': 0.17241379618644714, 'AUC': 0.5069534778594971}
{'Accuracy': 0.5438095331192017, 'F1_Score': 0.24980422854423523, 'Recall': 0.45571428537368774, 'Precision': 0.17206041514873505, 'AUC': 0.5097575187683105}
{'Accuracy': 0.5714285969734192, 'F1_Score': 0.24812030792236328, 'Recall': 0.4242857098579407, 'Precision': 0.1753246784210205, 'AUC': 0.5035765171051025}
{'Accuracy': 0.5359523892402649, 'F1_Score': 0.25695767998695374, 'Recall': 0.4814285635948181, 'Precision': 0.17524701356887817, 'AUC': 0.5096693634986877}
{'Accuracy': 0.5545238256454468, 'F1_Score': 0.24708250164985657, 'Recall': 0.43857142329216003, 'Precision': 0.17198880016803741, 'AUC': 0.5065057277679443}
{'Accuracy': 0.5542857050895691, 'F1_Score': 0.24333064258098602, 'Recall': 0.4300000071525574, 'Precision': 0.16967305541038513, 'AUC': 0.5038538575172424}
{'Accuracy': 0.476666659116745, 'F1_Score': 0.2518720328807831, 'Recall': 0.5285714268684387, 'Precision': 0.16532617807388306, 'AUC': 0.5010640621185303}
{'Accuracy': 0.5138095021247864, 'F1_Score': 0.2514662742614746, 'Recall': 0.49000000953674316, 'Precision': 0.16913214325904846, 'AUC': 0.5030410289764404}
{'Accuracy': 0.5426190495491028, 'F1_Score': 0.24872897565364838, 'Recall': 0.45428571105003357, 'Precision': 0.17124393582344055, 'AUC': 0.5097166895866394}
