
{'Accuracy': 0.5264285802841187, 'F1_Score': 0.26632240414619446, 'Recall': 0.5157142877578735, 'Precision': 0.17951267957687378, 'AUC': 0.5317836999893188}
{'Accuracy': 0.5547618865966797, 'F1_Score': 0.2735042870044708, 'Recall': 0.5028571486473083, 'Precision': 0.1878335177898407, 'AUC': 0.5430200099945068}
{'Accuracy': 0.5459523797035217, 'F1_Score': 0.2757311165332794, 'Recall': 0.5185714364051819, 'Precision': 0.18779100477695465, 'AUC': 0.5402987599372864}
{'Accuracy': 0.5854762196540833, 'F1_Score': 0.25693556666374207, 'Recall': 0.4300000071525574, 'Precision': 0.18320146203041077, 'AUC': 0.5325267314910889}
{'Accuracy': 0.6483333110809326, 'F1_Score': 0.25366348028182983, 'Recall': 0.35857143998146057, 'Precision': 0.19624707102775574, 'AUC': 0.5412489175796509}
{'Accuracy': 0.6150000095367432, 'F1_Score': 0.2666666805744171, 'Recall': 0.41999998688697815, 'Precision': 0.1953488439321518, 'AUC': 0.5428239107131958}
{'Accuracy': 0.6564285755157471, 'F1_Score': 0.24251969158649445, 'Recall': 0.33000001311302185, 'Precision': 0.1917012482881546, 'AUC': 0.5434004068374634}
{'Accuracy': 0.5907142758369446, 'F1_Score': 0.2663252353668213, 'Recall': 0.4457142949104309, 'Precision': 0.18989652395248413, 'AUC': 0.5393185615539551}
{'Accuracy': 0.598809540271759, 'F1_Score': 0.2715088725090027, 'Recall': 0.44857141375541687, 'Precision': 0.19466832280158997, 'AUC': 0.5404112339019775}
{'Accuracy': 0.614047646522522, 'F1_Score': 0.2615034282207489, 'Recall': 0.4099999964237213, 'Precision': 0.1919732391834259, 'AUC': 0.5513265132904053}
{'Accuracy': 0.5802381038665771, 'F1_Score': 0.2681610584259033, 'Recall': 0.46142858266830444, 'Precision': 0.18899941444396973, 'AUC': 0.538199782371521}
{'Accuracy': 0.6535714268684387, 'F1_Score': 0.24100156128406525, 'Recall': 0.33000001311302185, 'Precision': 0.18981100618839264, 'AUC': 0.5436012148857117}
