
{'Accuracy': 0.5657142996788025, 'F1_Score': 0.30751708149909973, 'Recall': 0.5785714387893677, 'Precision': 0.20941054821014404, 'AUC': 0.6063598394393921}
{'Accuracy': 0.5721428394317627, 'F1_Score': 0.3037582337856293, 'Recall': 0.5600000023841858, 'Precision': 0.20839978754520416, 'AUC': 0.6031738519668579}
{'Accuracy': 0.561904788017273, 'F1_Score': 0.2998477816581726, 'Recall': 0.5628571510314941, 'Precision': 0.204356849193573, 'AUC': 0.6007181406021118}
{'Accuracy': 0.5564285516738892, 'F1_Score': 0.30511003732681274, 'Recall': 0.5842857360839844, 'Precision': 0.20646138489246368, 'AUC': 0.6047945022583008}
{'Accuracy': 0.5597618818283081, 'F1_Score': 0.30410236120224, 'Recall': 0.5771428346633911, 'Precision': 0.20643842220306396, 'AUC': 0.599804699420929}
{'Accuracy': 0.5611904859542847, 'F1_Score': 0.3016293942928314, 'Recall': 0.5685714483261108, 'Precision': 0.20526044070720673, 'AUC': 0.6003506183624268}
{'Accuracy': 0.567380964756012, 'F1_Score': 0.3008849620819092, 'Recall': 0.558571457862854, 'Precision': 0.20589783787727356, 'AUC': 0.6018794178962708}
{'Accuracy': 0.5719047784805298, 'F1_Score': 0.3057914972305298, 'Recall': 0.5657142996788025, 'Precision': 0.20952381193637848, 'AUC': 0.6021798253059387}
{'Accuracy': 0.5683333277702332, 'F1_Score': 0.30456462502479553, 'Recall': 0.5671428442001343, 'Precision': 0.20818038284778595, 'AUC': 0.6013193726539612}
{'Accuracy': 0.5638095140457153, 'F1_Score': 0.3007633686065674, 'Recall': 0.5628571510314941, 'Precision': 0.20520833134651184, 'AUC': 0.6007832288742065}
{'Accuracy': 0.5492857098579407, 'F1_Score': 0.3027624189853668, 'Recall': 0.5871428847312927, 'Precision': 0.20397022366523743, 'AUC': 0.6007738709449768}
{'Accuracy': 0.5766666531562805, 'F1_Score': 0.30870917439460754, 'Recall': 0.5671428442001343, 'Precision': 0.21207265555858612, 'AUC': 0.6057771444320679}
{'Accuracy': 0.5495238304138184, 'F1_Score': 0.3013294041156769, 'Recall': 0.5828571319580078, 'Precision': 0.2031872570514679, 'AUC': 0.6022906303405762}
{'Accuracy': 0.5697619318962097, 'F1_Score': 0.30580100417137146, 'Recall': 0.5685714483261108, 'Precision': 0.20914345979690552, 'AUC': 0.6005750894546509}
{'Accuracy': 0.5600000023841858, 'F1_Score': 0.3052631616592407, 'Recall': 0.5799999833106995, 'Precision': 0.20714285969734192, 'AUC': 0.6040734648704529}
{'Accuracy': 0.5692856907844543, 'F1_Score': 0.3001934289932251, 'Recall': 0.5542857050895691, 'Precision': 0.20583555102348328, 'AUC': 0.6014485955238342}
{'Accuracy': 0.5538095235824585, 'F1_Score': 0.30489614605903625, 'Recall': 0.5871428847312927, 'Precision': 0.20591183006763458, 'AUC': 0.6038879156112671}
{'Accuracy': 0.5647618770599365, 'F1_Score': 0.3033536672592163, 'Recall': 0.5685714483261108, 'Precision': 0.2068607062101364, 'AUC': 0.6005767583847046}
{'Accuracy': 0.5523809790611267, 'F1_Score': 0.3057607114315033, 'Recall': 0.5914285778999329, 'Precision': 0.206175297498703, 'AUC': 0.605362057685852}
{'Accuracy': 0.5561904907226562, 'F1_Score': 0.30706319212913513, 'Recall': 0.5899999737739563, 'Precision': 0.2075376957654953, 'AUC': 0.6014326810836792}
{'Accuracy': 0.5602381229400635, 'F1_Score': 0.30380702018737793, 'Recall': 0.5757142901420593, 'Precision': 0.2063492089509964, 'AUC': 0.6039057374000549}
{'Accuracy': 0.5678571462631226, 'F1_Score': 0.3101482391357422, 'Recall': 0.5828571319580078, 'Precision': 0.21128948032855988, 'AUC': 0.6032494306564331}
{'Accuracy': 0.5623809695243835, 'F1_Score': 0.29900839924812317, 'Recall': 0.5600000023841858, 'Precision': 0.20395421981811523, 'AUC': 0.6012208461761475}
{'Accuracy': 0.5592857003211975, 'F1_Score': 0.3043968379497528, 'Recall': 0.5785714387893677, 'Precision': 0.20652727782726288, 'AUC': 0.5985281467437744}
{'Accuracy': 0.555476188659668, 'F1_Score': 0.30205607414245605, 'Recall': 0.5771428346633911, 'Precision': 0.20455695688724518, 'AUC': 0.6022314429283142}
{'Accuracy': 0.5514285564422607, 'F1_Score': 0.30633285641670227, 'Recall': 0.5942857265472412, 'Precision': 0.2063492089509964, 'AUC': 0.6012589931488037}
