
{'Accuracy': 0.5969047546386719, 'F1_Score': 0.3273738622665405, 'Recall': 0.5885714292526245, 'Precision': 0.22674737870693207, 'AUC': 0.6312124729156494}
{'Accuracy': 0.6154761910438538, 'F1_Score': 0.3301534652709961, 'Recall': 0.5685714483261108, 'Precision': 0.2326125055551529, 'AUC': 0.6321942806243896}
{'Accuracy': 0.6052380800247192, 'F1_Score': 0.31937602162361145, 'Recall': 0.5557143092155457, 'Precision': 0.22407834231853485, 'AUC': 0.6367526650428772}
{'Accuracy': 0.6109523773193359, 'F1_Score': 0.33197057247161865, 'Recall': 0.5799999833106995, 'Precision': 0.23253150284290314, 'AUC': 0.6360951662063599}
{'Accuracy': 0.6171428561210632, 'F1_Score': 0.331114798784256, 'Recall': 0.5685714483261108, 'Precision': 0.23356807231903076, 'AUC': 0.632183313369751}
{'Accuracy': 0.5990476012229919, 'F1_Score': 0.3231511116027832, 'Recall': 0.5742856860160828, 'Precision': 0.224832221865654, 'AUC': 0.6329934597015381}
{'Accuracy': 0.6054762005805969, 'F1_Score': 0.33427080512046814, 'Recall': 0.5942857265472412, 'Precision': 0.23253214359283447, 'AUC': 0.6342389583587646}
{'Accuracy': 0.6116666793823242, 'F1_Score': 0.32407790422439575, 'Recall': 0.558571457862854, 'Precision': 0.2282545268535614, 'AUC': 0.6314816474914551}
{'Accuracy': 0.5950000286102295, 'F1_Score': 0.3316306471824646, 'Recall': 0.6028571724891663, 'Precision': 0.22872628271579742, 'AUC': 0.6308155059814453}
{'Accuracy': 0.6133333444595337, 'F1_Score': 0.3255814015865326, 'Recall': 0.5600000023841858, 'Precision': 0.2295081913471222, 'AUC': 0.6309934854507446}
{'Accuracy': 0.6050000190734863, 'F1_Score': 0.32368528842926025, 'Recall': 0.5671428442001343, 'Precision': 0.22646890580654144, 'AUC': 0.6280591487884521}
{'Accuracy': 0.5990476012229919, 'F1_Score': 0.329083651304245, 'Recall': 0.5899999737739563, 'Precision': 0.2281768023967743, 'AUC': 0.6380371451377869}
